,C03196,C03761,C01157,C00345,C01041,C01353,C05422,C02336,C05378,C00257,C00116,C00093,C00249,C00294,C03668,C00392,C00503,C00137,C12270,C01530,C00864,C00009,C00134,C01879,C00013,C00022,C01620,C00183,C05984,C02630,C00597,C05635,C02571,C00417,C00008,C00062,C00152,C00002,C00719,C00318,C00112,C00114,C00327,C00055,C00300,C00063,C02291,C00380,C00788,C00035,C00144,C00051,C00127,C00044,C00637,C02043,C00328,C00149,C00003,C00004,C00153,C00077,C00036,C00074,C00213,C05382,C00245,C00075,C00158,C00073,C01089,C00079,C00078,C00041,C00188,C00334,C00031,C00148,C00037,C00791,C00123,C00186,C00407,C00064,C00092,C00020,C00122,C00025,C00716,C00049,C00082,C00026,C00135,C00047,C00105,C01042
WT_32,0.0316992660171714,0.0,0.0,0.027490655325273384,0.0,0.43370469728204947,0.0,0.3478313412686089,0.4097814891752496,0.0,0.07698777110942263,0.28373449808649104,0.10350391519077728,0.033047487133855,0.11882738334704453,0.28918885233327013,0.012462679382687103,1.3563085040472813,0.007716398939896785,0.1054069625901433,0.1851161465759442,10.469802500141535,0.46184703036313923,1.008451436889163,2.905097540598083,0.0,0.035916758400918784,0.8622236260028749,0.008721963961828486,0.33734349418550363,0.042937529256250585,0.0,2.7736434025024477,0.11002216720757034,0.632236025617324,1.5037841621608152,0.0,1.2286818177248315,0.0,2.55764235876296,0.019357282883787304,2.6703360556279825,0.055467467305915584,0.03334811636439197,5.578432874869102,0.043641991567872795,0.0,0.04265519122833684,0.034209670909111235,0.06268813046400618,0.01755618439227524,1.4572454041881808,0.043892699735985724,0.05494782892063651,0.0,0.010274332014211403,0.00046998147325132844,4.592591977178526,0.42139794919891554,0.031135126458719842,0.0,0.01871734532650809,0.0069215143116257505,0.07743436127789077,0.2912189702524457,0.02434726885626169,0.015390340145837617,0.13149778441221013,2.3067579176077895,0.2710092357591521,0.010850946819213177,1.6132538996924362,0.0,0.5362050355607638,1.721560980095487,0.5048647833481189,1.8587417609212402,1.4973659597889581,1.4609107351865662,0.08194046210523764,1.4860755736198925,8.27553449270588,0.786252000964008,2.42770875821326,0.23334079390624893,0.44247984220626724,0.42686035797545335,2.306026904978877,1.5646907603080393,1.1177036089866526,0.6794258784460984,0.6437343521378819,2.858240599330039,0.7310629563025114,0.1405563485143371,10.23477793989256
WT_37,0.03708853950763913,0.0066442020931624145,0.0,0.04603408560667816,0.0,0.36778162199551134,0.0,0.46832204295131674,0.26868776392769145,0.0018491231781910214,0.08135935467138462,0.3250263512921253,0.12299504199393409,0.0,0.16663334177082287,0.36148435287193403,0.0,1.1609018161725033,0.013094245129725022,0.12185614374245027,0.21063237920313285,8.816879046635025,0.2775887037783276,0.8459606877099605,3.605391673875567,0.04753758702215105,0.04500042332574602,1.0590393157823166,0.018022834507464284,0.4590417349251762,0.004502725237651018,0.0,3.7753112336600436,0.15684103331856752,0.7261797356816739,1.291679559257462,0.0,0.8667070832209907,0.0,2.823229916078594,0.002949424926785232,1.4806592470433206,0.0,0.02686578509300419,3.8374538137783265,0.009289192762264585,0.0,0.05710638842316572,0.02995666396508296,0.05193430099036833,0.014362478265377485,1.0564416248591786,0.019587712420698476,0.03275926982373284,0.00034067932255820826,0.009216558135322399,0.000376171897523029,6.358123967501692,0.3109054813627513,0.040924882872887314,0.0,0.007507891100438635,0.0055845763652585464,0.017036082834488785,0.3732648239561477,0.011921655176032012,0.005037944750598634,0.07591106705067382,0.42647328792271144,0.2492821201889328,0.019944374026830608,1.4432263545947144,0.10598948792140642,0.547008686261433,1.8586546106808148,0.5320377964356238,3.3312380930113132,1.6169117256725059,1.862328752329057,0.07842294108794307,1.3673705432580179,11.328421117146084,0.9879965862533389,1.896481894700096,0.151391607717081,0.5254319084435506,0.506169052241463,2.218471454270132,1.4805071234069633,0.9934796224002087,0.9218885221027658,0.6297793324256917,2.3489704278209964,0.7856661817192914,0.18653931969615586,14.606086125223142
WT_8,0.03787310761204613,0.0,0.2114547216236653,0.19519604695099735,0.11441019657177355,0.4457125574435261,0.19464695389109052,0.5654746667345916,0.7784314761323816,0.05800148041572026,0.24762694332776009,0.18355834821859307,0.14116216978066698,0.0,0.09952600897062629,0.8836021666536273,0.02407500058513832,1.8636151652007866,0.006165398382379924,0.1428980260323422,0.8302891690115365,9.164934933466277,0.5916125707483454,1.9278421416375702,2.69998786516752,0.05374437577495473,0.05363458896045552,5.435485323291784,0.0152135123270132,0.2656794660300072,0.009059175719408508,0.0,1.3227800750158007,0.07829749116153131,0.47746364235092564,0.8482359981326042,0.0,0.6530941629551583,0.7584180385896502,1.197896245856448,0.0363063663591678,6.603688379305512,0.005611028201433278,0.042040027254629145,6.846120987741026,0.051205001684764814,0.10885728743103532,0.06465297567544466,0.038073469287016874,0.07059236175469247,0.02258229148209518,1.5454954185978733,0.026501145569340606,0.055084618127518345,9.166914988910783e-05,0.013436410323394425,0.000895623921267822,2.0204360967154424,0.27682787765213906,0.05168815475455987,0.11770326553969586,0.013928324675970188,0.00707604457627844,0.030168903948697777,0.37042157111105145,0.0103621160135739,0.004113732766532898,0.07784164118002321,0.9393120226566937,0.1729314687483405,0.008866168182027227,3.3031913505442922,0.8125479847357134,2.701434278367978,4.632601152720412,0.19852976913393844,6.572594904809767,6.998331312408106,3.048098019014192,0.05573536615543148,1.1809026945231946,15.369186000022689,6.77466759553427,3.379485925561337,0.22139709829948082,0.4254876529157071,0.17510620292959359,3.2327530908451365,2.7687326763648343,0.19483336349628572,1.5887763584802526,0.35547204588405856,7.082736184944503,0.7774377520667131,0.3564725319698542,3.8083168706957924
WT_18,0.0,0.0,0.0,0.21878306740462247,0.0,0.2436168678901479,0.0,0.28265957106224177,1.1392696366450137,0.014503788621585209,0.2673216240625916,0.38252958464935877,0.1644899121054298,0.0,0.018535542337182933,0.6937647528883176,0.03822973642076637,0.28286004277338866,0.0,0.16608535299605978,0.2876455304345972,9.442805876432239,0.4439963016998529,0.696943195616357,2.6419863617749715,0.0,0.0,0.9899500511248696,0.007064755666083479,0.48298792743611996,0.040667453152439526,0.0,3.525764962349911,0.08076481925757005,1.026540806500182,2.561951099897444,0.0,1.4973236074980438,0.0,1.4259435715029778,0.03798240785928258,4.461362333473393,0.04483792117352351,0.03917148194172707,1.0296843780298222,0.06650439193463013,0.0005294227652185817,0.16023212478878723,0.05480183080399209,0.12846191279622646,0.038677329990893176,1.5251925557006558,0.023482220529008817,0.10967896309544962,0.0,0.056786964962803825,0.0004568100300871495,1.8700426020437433,0.445263926783568,0.10123049123019678,0.15261255297632495,0.04893637819178471,0.015454763679700367,0.06295149607579718,0.1842214481627071,0.2554943236091116,0.01420637243773027,0.20514447346137943,1.8096634625244106,0.30229117513970105,0.01693849350786988,1.907368580619864,0.0,0.16670923769630344,0.9540659715596451,0.17410005039115284,4.19195442333316,1.301349237110083,0.9647827523963254,0.05890061413306308,1.881733304075733,21.441140763625828,1.0194678923830296,1.0143019909590894,0.9446053524506294,0.8253897374888979,0.14690433926923804,0.5391950552031588,0.25910278673149095,0.20256019602414657,0.7363311086415067,0.30991439778156893,2.8552341768691796,0.9907359676161307,0.67294704132575,3.6928503315455465
WT_25,0.0,0.0,0.0,0.0,0.0,0.3316557657781683,0.0,0.04917052318103559,0.14032142254356347,0.0,0.03616514238188506,0.02951257409398549,0.10561723261729604,0.0,0.0,0.18651130160556298,0.0,0.21821985067170271,0.0,0.09934761226796114,0.047415865689330566,7.493499266174747,0.34455837091654473,0.17738362148369147,0.7199715010694344,0.0,0.0,0.22892176226837915,0.021352259143296748,0.35201374181823425,0.004234146681400516,0.0,3.047290861757785,0.018494222660892488,0.791259576698493,1.5564083216390932,0.0,0.9837181728565186,0.0,1.1222746903991194,0.01654899725723112,3.259147395514921,0.06831362848698629,0.026120549509544757,1.4108376167300787,0.039820796269345475,0.0,0.2751018936367702,0.034413139783972306,0.056009443765421385,0.012072207282176733,0.7961869366716176,0.008938161544429023,0.04594603945644318,0.0,0.014003733491837547,0.0,2.106853977769618,0.1846130303272097,0.008937916523437046,0.0,0.004784989717092988,0.013571834412535127,0.011336352584400874,0.22923351690485871,0.05831255072111105,0.0016482435584421109,0.1035040791499769,0.3333141610246243,0.1384174833612575,0.020784229158188495,0.7982551075517396,0.0,0.08954979881393627,0.5889391302324194,0.36942093633689516,0.38146425066740175,1.1458084822493861,0.5598454205527578,0.08036698539411928,0.724124521199054,2.9920910123124176,0.1947607318252691,0.8238644737457461,0.23301766205177987,0.6929300687472124,0.14176011054817483,0.27977763148274565,0.4089111846535726,0.6812434144586854,0.08744424373529247,0.18547129384207803,1.4474101758038909,0.15995631748759143,0.0,10.642354079587337
ND_32,0.0280791986905317,0.010770869723386485,0.0,0.0,0.0,0.39987670826418326,0.0,0.27233193723287646,0.2753385599179446,0.0,0.050182899199985954,0.1826138010033255,0.11258492817574094,0.0,0.1121180985646451,0.2771843367626222,0.0,1.2151472101334513,0.018962001110411127,0.11641087552744463,0.22061987605721403,8.886766107165583,0.35481467605059436,1.0023980485999147,1.8741537447217629,0.0,0.041870542865796646,1.321564256169037,0.014341694147639817,0.2572286377404345,0.015276410410020017,0.0,3.913792957003347,0.05174665968360403,0.6242693047809349,1.4258447492056086,0.0,0.8550087384327453,0.0,2.9814137546370376,0.012693882393526904,3.1992126076938505,0.004654236731731509,0.02543372701259801,4.557622642594723,0.024058372444375847,0.0012153370450317853,0.029318523217409603,0.03662657954635693,0.07751524910852692,0.01954491201015904,1.3165030598233596,0.030670749943259346,0.05771391652906729,0.0,0.005918565745868229,0.0004740517995331629,4.408637923643291,0.43502176620187877,0.03246818343484084,0.07249961703345716,0.015834568256633878,0.006111186626564867,0.03251225281882345,0.2857886662964499,0.02069940893230975,0.020619297929313524,0.06760594837578378,0.6580133851449325,0.32729365565794305,0.010301682641969094,1.8693122361714287,0.10951904592932811,0.6564349845925767,2.8450708930617323,0.5340123534686575,1.6877025093850964,2.0547680098658536,3.458618411916156,0.029288582275879108,1.9493217624639823,6.1252312524155945,1.4092202094401083,1.43416421917377,0.17405941515174403,0.47858676115524285,0.3836092237323734,2.8592554669141834,2.427398525607287,1.435494417915157,0.9787846020511802,0.31268171727827937,4.322875164709807,0.8681190102340915,0.04616510513807337,13.284597200668756
ND_37,0.0,0.014461168486489475,0.0,0.0,0.0,0.3673681241553107,0.0,0.273098155951535,0.35425917672785845,0.003049673451420636,0.06617913781755283,0.3614952072372627,0.12653447419276936,0.0,0.09210679372838969,0.43770185248807414,0.0,0.8467793787769547,0.016424651239796688,0.13459336420332046,0.18218085555964075,7.7429654422289,0.29125878725738313,0.742506754956387,2.1776930587408256,0.0,0.043317223560412746,1.5615339193017157,0.021077460774101844,0.2305894438283551,0.019099650173503457,0.0001758299955706683,4.562344965389206,0.05284811531012755,0.5618783255187467,2.040791408708211,0.0,0.8349345233489658,0.0,3.539905115044146,0.0076295004716943615,3.466634342834847,0.03502143001583863,0.029788424092218525,3.3967725675967846,0.014649037199052698,0.003116443681250126,0.025040712010843326,0.031474257513701,0.06934308545121921,0.018154419268167545,0.5882552539295008,0.03611732603701125,0.04418202543287408,0.0023925588188098094,0.02135442621104308,0.0005604719638119489,3.6169471045712878,0.36952500582978237,0.03775180838059062,0.0,0.042151566100652405,0.005379414447003241,0.04141056471210011,0.277022586220949,0.04046781645413044,0.004991286167036195,0.06217754841904878,0.7843809859875794,0.32124775386104276,0.00877771218781538,2.0626577084837274,0.15500413033078375,0.6531365110501661,2.6133824323631063,0.3208037790654942,3.4195243160155364,2.2450013465865375,3.561405559600134,0.030490032510602477,2.1026343132126453,9.321556809163036,1.653861007369457,1.1383469112277997,0.17870408085959028,0.3739558701240153,0.3189612298423773,1.952055813590594,1.8360087506977822,0.9913014366839499,1.241524690483053,0.19586232176610407,4.136648277610317,1.5720642660149484,0.048192926301353134,10.594840273977525
ND_8,0.06258683835116889,0.0,0.2197669263926018,0.11260133590256224,0.1174421769552269,0.4426640316362628,0.2381772869150921,1.099550378730604,1.0605744208056112,0.03492732950909263,0.18013483053923784,0.10139128539933642,0.15609930685131262,0.0,0.11265535065821286,0.8703702765204498,0.031865987499440314,2.7632366466540814,0.005751468058000817,0.15292019044074984,0.3109449545670371,9.256643495389081,0.47332561814833046,3.26781989520339,2.668035080473377,0.0760569172574262,0.04940334391341091,4.766753895611964,0.004178428664101306,0.30113504035693317,0.005420387005294423,0.0,0.7546044917977366,0.08804454040432856,0.5810325443301352,0.9380491252294973,0.014807606491231418,0.719728808651052,0.0,1.231175955293981,0.031435383458327935,6.373799670649777,0.007154837060947868,0.027278173658248257,4.620390655493553,0.04472318878479771,0.052439457595825384,0.11856375049705478,0.01781329568298417,0.07106022694044231,0.022008519550034696,1.703860501373227,0.028459672307877347,0.05010627070595016,0.0,0.002922673789063305,0.0,2.6458619871639293,0.2879206714674414,0.034811784013927954,0.0,0.02162697969868209,0.005831025032121827,0.023103981384342484,0.39880047123967755,0.0061810054924522,0.01652049934296839,0.06898172103879234,0.7649031140732885,0.17569943919437256,0.010162208701268143,3.1078088957091152,0.6268678779773309,4.109331777546242,5.060590451928136,0.2814932984420827,7.24188379600769,7.228210260491338,2.665863747126105,0.08262603905802704,1.1402878563550873,14.15217946031488,5.84646925816532,5.746310700111595,0.15676742149383838,0.5300410796207542,0.22833914651468248,4.439928645387873,3.1372161377572616,0.22411652967332885,1.3678886529558163,0.4607192522306992,7.164305342537266,1.098074878650881,0.28939294399505355,4.1929674658309075
ND_18,0.03422414058791695,0.0,0.0,0.15848866199869147,0.0,0.2835445898545304,0.0,0.49756780906795267,0.3897288536907131,0.00961915402758524,0.15437777760517987,0.30373131542812254,0.1367575274756304,0.0,0.05322990568185929,0.6252349314476048,0.03821894985742815,0.8748437099647273,0.0,0.13590248616477046,0.47952433519230225,9.582668372895712,0.8915820700588221,1.0839470609408108,4.045582813502456,0.0,0.041615058903031805,0.9050684988479826,0.005160139780592286,0.6702114537033722,0.0909715058028238,0.0,2.3764186640542175,0.17165643075567627,0.9083899454931276,1.6379697289619983,0.0036174407557483363,2.2656155202207877,0.0,1.9919839751788748,0.03857846891772587,2.885643980265241,0.35124989425448677,0.04072848695175273,1.1744876992839057,0.10333778259982453,0.0,0.1991875014452785,0.0748760257175109,0.08226447447104351,0.014692911469380426,1.9301109402168084,0.033645011626383545,0.09351925711060023,0.0,0.03730243717421409,0.0008428526444312475,2.7468440562072254,0.4656748741618541,0.06733598780999342,0.07580259916962295,0.010136354099299446,0.010762285785744542,0.13954498407524663,0.19454853501572608,0.07448610638929791,0.004948081615129975,0.322515502779916,4.297731857815328,0.28414383535064497,0.020692782535930095,1.7334467386013506,0.0,0.32386883757568863,1.2424782321164436,0.31973504535335734,2.605915681838257,1.3804499694485335,1.2026402129837208,0.04448742454155332,1.5198624363292106,18.358778987651117,0.9137900049488642,1.9289860565146821,0.5263039183211242,0.5091776744220531,0.25378582297398866,1.198786808902493,0.5456642016243397,0.36465331414414887,0.7605239134638757,0.7895931993668159,2.381225174460637,0.84229336928209,0.3610587318817897,6.695834335673559
ND_25,0.050038092907626154,0.0,0.0,0.0,0.0,0.30934564765541744,0.0,0.13475321898197967,0.0,0.0,0.03983916773024467,0.09079115427981903,0.10847491886324594,0.0,0.13450443065641265,0.09054935298271628,0.0,1.2468394609303841,0.004999704442872979,0.09804763771108581,0.1467361297985131,7.670360163927789,0.32423984184743787,1.065627810925328,1.620329796885439,0.0,0.0,0.40575356704121823,0.0078040934828039815,0.37889327353004476,0.014012906210040274,0.0,2.0129888685217296,0.1914213065925987,0.7187547172675949,1.3039946292636027,0.0,1.2412645645709517,0.0,2.0858217906412446,0.02036526528172285,1.8680370044464667,0.06339663106473951,0.022308920221187103,3.1595066507009437,0.04159772812487837,0.0,0.04411764387515744,0.03931735923239788,0.07369667368115014,0.014704676771427115,1.7810648497633352,0.0280875284998536,0.05528642069313766,0.002384662175999041,0.0,0.0004138619242442169,6.5438162397028625,0.2671071903899391,0.015484938068160536,0.0,0.007636488265357861,0.006491151288133893,0.03225894719666544,0.24012782301463884,0.01629942532672117,0.004358847929788141,0.1441876987382271,1.7210202253378861,0.15489721073856588,0.012508969205956693,0.9304535456242672,0.0,0.4249251656975121,0.9931775342874268,0.7869388378039864,0.4785862569415866,1.513499098533303,0.6598538652899063,0.04344675198333361,0.8314442747061522,4.702777816051872,0.40342226162273853,3.2451569776675977,0.15187861490194823,0.463498068947133,0.5922029156756782,3.144448830406731,0.8495185222895888,1.5413742566090773,0.2716431768226229,0.7264907606122248,1.658175706273603,0.3763225305467288,0.0,12.696658506939434
